CO_FRAC_RA,x,y,plata,tiemposMin,POB
10_18_6,-58.48296448,-34.63426954,13.75,42.51666667,297
10_18_7,-58.48322861,-34.6354446,13.75,45.38333333,391
10_18_8,-58.4825797,-34.63726981,13.75,47.73333333,273
10_18_9,-58.48114477,-34.63593974,13.75,47.68333333,584
10_19_1,-58.48108945,-34.63370778,7.5,42.3,278
10_19_10,-58.47365334,-34.63476314,7.5,38.4,506
10_19_11,-58.47446922,-34.63670481,7.5,42.3,501
10_19_12,-58.47368098,-34.63765444,7.5,43.55,608
10_19_2,-58.478113,-34.63291924,7.5,38.8,579
10_19_3,-58.47519742,-34.63185427,7.5,35.25,559
10_19_4,-58.47421261,-34.6333075,7.5,36.65,397
10_19_5,-58.47693771,-34.63395294,7.5,39.78333333,428
10_19_6,-58.47851834,-34.63489066,7.5,42.18333333,461
10_19_7,-58.48032418,-34.63469744,7.5,43.76666667,371
10_19_8,-58.47837261,-34.63635618,7.5,44.41666667,262
10_19_9,-58.4762396,-34.63557748,7.5,42.5,375
10_2_1,-58.52934219,-34.61638976,6.75,83.81666667,457
10_2_2,-58.52764993,-34.61769693,6.75,84.35,307
10_2_3,-58.52650253,-34.61852075,6.75,86.01666667,335
10_2_4,-58.52930314,-34.62039207,6.75,86.08333333,417
10_2_5,-58.52861117,-34.623273,6.75,91.11666667,400
10_2_6,-58.52533094,-34.62192112,6.75,90.85,576
10_2_7,-58.52773773,-34.62559879,17.5,63.13333333,466
10_2_8,-58.52286232,-34.62388038,13,91.1,402
10_3_1,-58.5240091,-34.62622787,17.75,63.75,291
10_3_2,-58.52705857,-34.62729206,11.5,61.8,399
10_3_3,-58.52696208,-34.62880759,11.5,59.73333333,357
10_3_4,-58.52594806,-34.63010681,11.5,58.36666667,268
10_3_5,-58.52855326,-34.63180485,11.5,56.01666667,372
10_3_6,-58.52805855,-34.63442685,11.5,54.21666667,329
10_3_7,-58.52562115,-34.63291121,11.5,56.11666667,451
10_3_8,-58.52321809,-34.63307637,6.75,76.65,516
10_4_1,-58.52169925,-34.62572424,17.75,64.7,513
10_4_2,-58.52131933,-34.62768997,17.75,62.08333333,540
10_4_3,-58.52036238,-34.62894775,17.75,64.88333333,424
10_4_4,-58.52097032,-34.6314748,6.75,80.2,415
10_4_5,-58.51755649,-34.63001314,17.5,63.36666667,393
10_4_6,-58.51548758,-34.63098627,17.75,63.83333333,316
10_4_7,-58.51757631,-34.63254284,6.75,80.73333333,401
10_4_8,-58.51375982,-34.63250955,13.25,81.75,337
10_4_9,-58.51071756,-34.63397924,6.75,71.03333333,363
10_5_1,-58.51836667,-34.62352512,14,80.16666667,320
10_5_10,-58.5130387,-34.62560572,14,79.15,384
10_5_11,-58.51411851,-34.62479265,14,77.51666667,312
10_5_12,-58.51523513,-34.624043,14,78.55,346
10_5_13,-58.51808201,-34.62567468,13,88.53333333,395
10_5_14,-58.51593625,-34.62732328,14.25,88.93333333,373
10_5_2,-58.51606435,-34.6226503,14,78.16666667,346
10_5_3,-58.51431407,-34.62061968,14,79.28333333,477
10_5_4,-58.51235549,-34.61889165,14,76.53333333,436
10_5_5,-58.50934892,-34.62063336,14,72.25,414
10_5_6,-58.50734581,-34.62255758,14,74.86666667,399
10_5_7,-58.50915384,-34.624336,14,76.48333333,413
10_5_8,-58.51069027,-34.6217991,14,73.23333333,485
10_5_9,-58.51200839,-34.62295952,14,74.03333333,314
10_6_1,-58.51045194,-34.61800112,14,71.75,339
10_6_10,-58.50159556,-34.61682074,13.75,63.38333333,565
10_6_11,-58.50482064,-34.61723137,13.75,63.63333333,377
10_6_12,-58.50741985,-34.6186842,13.75,68.9,327
10_6_13,-58.5049844,-34.61941245,13.75,64.43333333,484
10_6_2,-58.50904859,-34.61669014,14,70.46666667,322
10_6_3,-58.50673458,-34.61534158,14,67.1,508
10_6_4,-58.50367654,-34.61272377,14,69.28333333,434
10_6_5,-58.50343191,-34.61481482,14,64.18333333,438
10_6_6,-58.50063883,-34.61320426,14,71,408
10_6_7,-58.49927522,-34.61137151,13.75,68.81666667,429
10_6_8,-58.49706023,-34.6140858,13.75,66.5,418
10_6_9,-58.498907,-34.6155184,14,67.86666667,485
10_7_1,-58.50680931,-34.62599984,14,74.73333333,551
10_7_10,-58.50285774,-34.62290829,13.75,64.35,585
